Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
44.396	-1.79444	0.9844	0.149398	-1.78595	1.26646	0.146006	-2.18546	1.28663	0.153181
44.567	-1.79438	0.984396	0.149328	-1.78563	1.26644	0.145567	-2.18541	1.28668	0.153115
44.681	-1.79432	0.98439	0.149263	-1.78586	1.26651	0.145908	-2.18537	1.28667	0.153066
44.86	-1.79441	0.984396	0.149374	-1.78564	1.26641	0.145602	-2.1854	1.2867	0.153174
45.131	-1.79443	0.984398	0.1494	-1.78567	1.26653	0.145665	-2.18542	1.28669	0.153179
45.339	-1.79434	0.984392	0.149318	-1.78567	1.2665	0.145656	-2.18538	1.28666	0.153051
45.566	-1.79438	0.984396	0.149332	-1.78559	1.26646	0.145539	-2.18535	1.28669	0.153095
45.791	-1.79444	0.98439	0.149421	-1.78564	1.26646	0.145643	-2.1854	1.2867	0.153178
45.932	-1.79437	0.984389	0.149305	-1.78563	1.26647	0.14559	-2.1856	1.28615	0.152724
46.138	-1.79432	0.984387	0.149256	-1.7856	1.26641	0.14553	-2.18562	1.28612	0.152696
46.366	-1.7944	0.984425	0.149377	-1.78562	1.26644	0.145597	-2.18561	1.28619	0.152774
46.557	-1.79431	0.984248	0.149158	-1.78565	1.26644	0.145634	-2.18563	1.28616	0.152807
46.861	-1.79434	0.984385	0.14929	-1.78562	1.26645	0.145608	-2.18561	1.28615	0.152704
47.122	-1.79425	0.984256	0.149073	-1.78558	1.26645	0.145504	-2.18561	1.28612	0.15265
47.344	-1.7943	0.984259	0.149163	-1.78566	1.26646	0.145623	-2.18564	1.28616	0.15277
47.541	-1.79438	0.984369	0.149313	-1.78565	1.26638	0.145581	-2.18562	1.28616	0.152788
47.761	-1.79431	0.984374	0.149237	-1.7856	1.26642	0.145492	-2.1856	1.28612	0.152646
47.97	-1.79437	0.984378	0.149325	-1.78562	1.26642	0.145525	-2.18562	1.28617	0.152739
48.173	-1.79441	0.984385	0.149355	-1.78567	1.26643	0.145636	-2.18567	1.28616	0.152801
48.378	-1.79432	0.984382	0.149264	-1.78557	1.26645	0.145529	-2.18563	1.28612	0.15266
48.621	-1.79432	0.984384	0.149261	-1.78559	1.26643	0.145471	-2.1856	1.28612	0.152676
48.883	-1.79445	0.984381	0.149405	-1.78565	1.26642	0.14559	-2.18538	1.28669	0.153071
49.095	-1.79441	0.984371	0.149365	-1.78568	1.26644	0.145627	-2.18543	1.28669	0.153195
49.317	-1.79421	0.984228	0.149009	-1.78556	1.26649	0.145506	-2.18536	1.28665	0.153023
49.578	-1.79429	0.984258	0.149083	-1.78562	1.26643	0.145559	-2.1854	1.28669	0.153143
49.755	-1.79435	0.984215	0.149173	-1.78564	1.26649	0.14564	-2.18546	1.28667	0.153229
49.933	-1.79425	0.98423	0.149034	-1.78559	1.26649	0.145568	-2.18541	1.28667	0.15308
50.108	-1.79421	0.984191	0.148951	-1.7856	1.26645	0.145518	-2.18536	1.28664	0.153018
50.318	-1.79432	0.984194	0.149127	-1.7857	1.26652	0.145778	-2.18546	1.28667	0.153183
50.483	-1.79442	0.984172	0.149299	-1.78583	1.26644	0.145969	-2.18549	1.28675	0.153242
50.692	-1.79394	0.98413	0.149446	-1.78544	1.26644	0.146203	-2.18514	1.28665	0.15277
50.878	-1.79284	0.984205	0.149593	-1.78435	1.26647	0.146671	-2.18364	1.2866	0.152615
51.06	-1.79181	0.98423	0.149248	-1.78336	1.26618	0.146023	-2.18277	1.28638	0.153413
51.24	-1.79057	0.984223	0.149367	-1.7821	1.26638	0.146137	-2.18165	1.28628	0.153791
51.443	-1.7894	0.984227	0.149312	-1.78073	1.26638	0.145682	-2.18055	1.28572	0.153687
